pair0,pair1,idx
729,659,2124
84,1559,2125
269,766,2126
274,307,2127
549,824,2128
742,257,2129
884,390,2130
108,273,2131
101,332,2132
487,289,2133
376,103,2134
397,108,2135
283,707,2136
2087,842,2137
608,390,2138
792,752,2139
474,100,2140
269,707,2141
353,423,2142
539,957,2143
288,326,2144
309,298,2145
364,281,2146
847,310,2147
99,731,2148
1297,1638,2149
115,336,2150
118,293,2151
1455,366,2152
259,281,2153
1015,32,2154
1766,403,2155
568,272,2156
456,371,2157
369,367,2158
545,804,2159
279,281,2160
1105,988,2161
109,1657,2162
304,357,2163
490,637,2164
261,1716,2165
1527,853,2166
299,1753,2167
1542,256,2168
307,110,2169
2125,105,2170
110,805,2171
796,391,2172
330,256,2173
385,270,2174
480,354,2175
530,118,2176
417,315,2177
694,1242,2178
529,294,2179
322,270,2180
436,319,2181
334,339,2182
629,284,2183
744,528,2184
1982,1235,2185
574,743,2186
618,304,2187
318,310,2188
358,257,2189
374,101,2190
48,1290,2191
283,78,2192
442,413,2193
327,332,2194
275,472,2195
692,306,2196
394,506,2197
263,100,2198
478,302,2199
619,291,2200
723,257,2201
585,298,2202
877,270,2203
1477,99,2204
630,609,2205
493,365,2206
859,281,2207
1484,368,2208
98,394,2209
754,387,2210
653,385,2211
577,317,2212
331,99,2213
386,620,2214
1494,257,2215
343,102,2216
1186,272,2217
264,105,2218
985,794,2219
292,289,2220
277,537,2221
295,777,2222
104,290,2223
553,327,2224
740,291,2225
485,306,2226
97,262,2227
273,433,2228
104,349,2229
1022,538,2230
557,888,2231
269,78,2232
307,304,2233
258,766,2234
1157,755,2235
348,384,2236
101,388,2237
584,390,2238
271,332,2239
313,581,2240
990,118,2241
762,108,2242
1930,409,2243
478,343,2244
923,336,2245
519,351,2246
328,292,2247
393,390,2248
412,100,2249
393,573,2250
118,635,2251
288,351,2252
367,289,2253
115,274,2254
1563,385,2255
263,466,2256
1032,407,2257
305,644,2258
99,794,2259
261,315,2260
283,737,2261
99,643,2262
269,623,2263
1299,103,2264
437,356,2265
263,420,2266
295,326,2267
307,32,2268
418,363,2269
315,833,2270
533,378,2271
834,105,2272
297,292,2273
1256,381,2274
355,109,2275
331,100,2276
84,784,2277
296,1401,2278
1557,1108,2279
364,400,2280
1061,1160,2281
97,386,2282
397,270,2283
628,380,2284
1508,1033,2285
65,695,2286
574,261,2287
364,1088,2288
271,116,2289
1571,1390,2290
275,314,2291
429,83,2292
664,680,2293
522,260,2294
359,267,2295
741,317,2296
117,678,2297
626,440,2298
261,313,2299
286,344,2300
582,799,2301
84,534,2302
109,592,2303
72,365,2304
708,292,2305
263,378,2306
301,2082,2307
1537,433,2308
283,623,2309
293,1338,2310
417,343,2311
754,268,2312
1130,100,2313
101,313,2314
533,301,2315
542,914,2316
104,555,2317
1050,844,2318
415,274,2319
412,624,2320
542,345,2321
309,270,2322
